"","ST","STATE","OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"21","MD","Maryland","00-0000","All Occupations","total",18,0.5,25.41,47,0.5,8.82,11.97,19.57,32.3,49.68,31,46,49,48,3
"22","MA","Massachusetts","00-0000","All Occupations","total",27,0.4,27.12,52,0.5,9.6,13.32,21.07,34.02,51.51,47,50,52,54,6
"23","MI","Michigan","00-0000","All Occupations","total",32,0.4,21.42,34,0.6,8.68,10.89,16.67,26.88,39.36,27,29,32,38,39
"24","MN","Minnesota","00-0000","All Occupations","total",20,0.4,22.77,39,0.8,8.88,11.67,17.98,28.23,42.46,34,39,43,41,47
"25","MS","Mississippi","00-0000","All Occupations","total",1,0.6,17.34,4,0.6,8.19,9.34,13.57,20.7,30.37,3,3,4,6,12
"26","MO","Missouri","00-0000","All Occupations","total",19,0.5,20.2,22,0.6,8.43,10.27,15.55,24.78,36.79,14,17,22,26,35
"27","MT","Montana","00-0000","All Occupations","total",38,0.8,18.79,10,0.8,8.65,10.3,14.79,22.85,33.32,25,18,13,12,15
"28","NE","Nebraska","00-0000","All Occupations","total",53,0.7,19.33,15,0.6,8.53,10.6,15.31,23.24,34.47,18,25,18,18,21
"29","NV","Nevada","00-0000","All Occupations","total",2,0.8,20.3,23,0.7,8.57,10.83,16.03,24.69,36.6,20,27,27,25,33
"30","NH","New Hampshire","00-0000","All Occupations","total",47,0.7,22.22,38,0.8,8.93,11.58,17.21,26.82,40.55,36,38,37,37,45
"31","NJ","New Jersey","00-0000","All Occupations","total",29,0.4,25.39,46,0.5,8.98,11.94,19.35,32.43,48.49,40,43,47,50,1
"32","NM","New Mexico","00-0000","All Occupations","total",51,1,19.94,21,1.6,8.53,10.13,15.14,24.52,36.77,19,15,17,24,34
"33","NY","New York","00-0000","All Occupations","total",52,0.3,26.24,51,0.5,8.91,11.95,19.45,32.73,50.91,35,44,48,52,5
"34","NC","North Carolina","00-0000","All Occupations","total",31,0.3,20.39,26,0.4,8.44,10.33,15.46,24.02,37.17,15,19,21,23,37
"35","ND","North Dakota","00-0000","All Occupations","total",37,1.2,20.39,25,0.6,9.01,11.85,17.14,24.81,34.73,41,42,35,27,25
"36","OH","Ohio","00-0000","All Occupations","total",40,0.4,20.76,28,0.4,8.67,10.48,16.22,25.72,37.04,26,23,29,31,36
"37","OK","Oklahoma","00-0000","All Occupations","total",7,0.9,19.2,13,0.6,8.37,9.99,14.77,22.7,34.5,10,10,12,11,22
"38","OR","Oregon","00-0000","All Occupations","total",9,0.8,22.01,37,0.8,9.37,11.55,17.24,26.91,40.46,45,36,38,39,44
"39","PA","Pennsylvania","00-0000","All Occupations","total",41,0.3,21.77,35,0.4,8.75,11.22,16.98,26.59,39.84,29,34,33,35,41
"40","RI","Rhode Island","00-0000","All Occupations","total",39,1.1,23.47,41,1.1,8.93,11.7,18.03,29.34,43.78,37,41,44,45,49
"41","SC","South Carolina","00-0000","All Occupations","total",11,0.5,18.75,9,0.7,8.29,9.69,14.56,22.56,33.99,8,8,8,10,18
"42","SD","South Dakota","00-0000","All Occupations","total",35,0.4,17.56,5,0.7,8.6,10.47,14.14,20.37,29.47,22,22,7,5,11
"43","TN","Tennessee","00-0000","All Occupations","total",21,0.5,19.33,14,0.6,8.38,10.09,14.9,22.99,34.61,12,12,14,13,23
"44","TX","Texas","00-0000","All Occupations","total",14,0.3,21.35,33,0.4,8.37,10.09,15.81,26.01,40.57,11,13,25,34,46
"45","UT","Utah","00-0000","All Occupations","total",4,0.9,20.55,27,1,8.64,10.82,16,25.25,37.22,24,26,26,29,38
"46","VT","Vermont","00-0000","All Occupations","total",26,1.1,21.18,31,1.2,9.57,12.05,17.01,25.46,36.41,46,47,34,30,32
"47","VA","Virginia","00-0000","All Occupations","total",28,0.4,24.1,44,0.6,8.69,11.22,17.77,29.78,48.61,28,33,40,46,2
"48","WA","Washington","00-0000","All Occupations","total",23,0.4,25.04,45,1.9,9.88,12.94,19.67,31.79,46.67,48,49,50,47,53
"49","WV","West Virginia","00-0000","All Occupations","total",50,0.8,18.05,7,0.6,8.22,9.42,13.96,22.36,32.52,5,4,6,8,14
"50","WI","Wisconsin","00-0000","All Occupations","total",22,0.6,20.34,24,0.4,8.62,10.91,16.32,24.91,36.03,23,31,30,28,31
"51","WY","Wyoming","00-0000","All Occupations","total",25,0.9,21.05,29,0.6,8.98,11.97,17.79,26.73,35.8,40,45,41,36,29
"52","GU","Guam","00-0000","All Occupations","total",44,1.1,15.72,2,2.5,7.97,8.82,12.23,18.61,28.01,2,2,2,3,9
"53","PR","Puerto Rico","00-0000","All Occupations","total",54,0.5,13.13,1,1.1,7.82,8.43,9.51,14.84,21.95,1,1,1,2,8
"54","VI","Virgin Islands","00-0000","All Occupations","total",34,2.4,16.72,3,1.8,8.26,9.56,13.27,20.06,29.34,6,6,3,4,10
"55","AL","Alabama","11-0000","Management Occupations","major",1000,1.1,50.77,63,0.5,24.61,33.01,44.53,61.52,86.05,858,998,1098,136,315
"56","AL","Alabama","13-0000","Business and Financial Operations Occupations","major",992,1.1,32.16,912,0.7,17,22.13,29.57,39.66,49.83,701,820,911,1020,72
"57","AL","Alabama","15-0000","Computer and Mathematical Occupations","major",747,3.5,35.47,985,1.2,17.82,24.47,34.18,44.57,55.81,733,874,990,1098,146
"58","AL","Alabama","17-0000","Architecture and Engineering Occupations","major",753,1.9,38.42,1038,0.8,18.81,26.42,36.88,49.76,60.44,763,932,1045,68,196
"59","AL","Alabama","19-0000","Life, Physical, and Social Science Occupations","major",1148,2.7,28.09,826,3.1,14.33,18.44,24.39,34.03,45.13,590,700,764,913,1095
"60","AL","Alabama","21-0000","Community and Social Service Occupations","major",313,2.2,19.9,604,1.4,10.45,14.45,18.77,25.18,30.08,395,551,595,716,806
"61","AL","Alabama","23-0000","Legal Occupations","major",1144,3.5,39.01,1042,3.3,14.91,20.67,29.65,49.28,74.72,618,781,912,62,283
"62","AL","Alabama","25-0000","Education, Training, and Library Occupations","major",142,1.6,21.63,670,3.6,8.27,9.84,21.18,26.92,33.57,159,239,679,770,898
"63","AL","Alabama","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",307,4.7,19.15,563,2.4,8.39,10.11,15.69,23.63,33.7,175,257,466,682,902
"64","AL","Alabama","29-0000","Healthcare Practitioners and Technical Occupations","major",169,1.8,30.33,872,1.1,12.78,17.5,23.68,32.2,54.89,532,673,752,875,131
"65","AL","Alabama","31-0000","Healthcare Support Occupations","major",854,2.1,11.87,201,0.8,8.06,9.08,10.76,13.35,17.37,130,179,192,285,434
"66","AL","Alabama","33-0000","Protective Service Occupations","major",788,2.2,17.22,474,1.7,8.67,11.1,15.88,21.75,27.78,205,343,474,610,727
"67","AL","Alabama","35-0000","Food Preparation and Serving Related Occupations","major",280,1.1,9.38,101,0.6,7.65,8.06,8.73,9.49,12.92,60,63,77,179,339
"68","AL","Alabama","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",911,1.6,10.66,148,0.7,7.8,8.43,9.57,11.69,15.34,87,1,141,240,382
"69","AL","Alabama","39-0000","Personal Care and Service Occupations","major",790,2.1,10.29,130,1.1,7.69,8.16,8.94,11.07,15.91,67,77,96,218,397
"70","AL","Alabama","41-0000","Sales and Related Occupations","major",443,0.9,15.48,363,0.9,7.91,8.61,10.52,17.52,28.98,103,128,183,423,774
"71","AL","Alabama","43-0000","Office and Administrative Support Occupations","major",575,0.9,15.03,340,0.3,8.72,10.58,13.73,18.05,23.44,211,296,358,449,590
"72","AL","Alabama","45-0000","Farming, Fishing, and Forestry Occupations","major",875,3.8,15.02,339,2.2,8.54,10.6,14.35,17.96,22.82,19,25,396,444,573
"73","AL","Alabama","47-0000","Construction and Extraction Occupations","major",1061,1.6,17.93,510,0.8,10.23,12.68,16.51,21.95,27.72,383,455,498,616,726
"74","AL","Alabama","49-0000","Installation, Maintenance, and Repair Occupations","major",1134,1.4,20.36,624,0.7,10.75,14.32,19.24,25.62,32.41,415,545,609,728,864
"75","AL","Alabama","51-0000","Production Occupations","major",396,1.5,15.85,383,1.4,8.64,10.4,13.74,19.73,26.94,202,284,359,531,694
"76","AL","Alabama","53-0000","Transportation and Material Moving Occupations","major",239,1.3,14.93,336,1.5,8.17,9.3,12.54,17.86,25.7,144,200,293,439,651
"77","AK","Alaska","11-0000","Management Occupations","major",366,1.8,49.26,59,1.2,24.24,32.34,44.26,58.99,80.94,855,997,1096,131,304
"78","AK","Alaska","13-0000","Business and Financial Operations Occupations","major",210,2.2,35.18,979,1.3,20.54,26.27,33.15,41.58,51.56,815,927,963,1046,92
"79","AK","Alaska","15-0000","Computer and Mathematical Occupations","major",865,3.5,35.1,977,1.3,20.99,26.57,34.26,42.52,50.74,825,935,992,1063,82
"80","AK","Alaska","17-0000","Architecture and Engineering Occupations","major",1076,2.7,47,1121,2.5,24.82,31.88,42.77,55.96,71.61,859,992,1089,113,273
"81","AK","Alaska","19-0000","Life, Physical, and Social Science Occupations","major",962,3.4,33.75,939,2.3,18.22,23.08,30.5,39.74,51.23,738,844,926,1023,89
"82","AK","Alaska","21-0000","Community and Social Service Occupations","major",960,4.6,23.65,740,2.3,13.43,16.81,22.32,28.99,35.75,555,653,713,823,958
"83","AK","Alaska","23-0000","Legal Occupations","major",400,6.9,47.69,1127,4.2,22.13,29.94,43.22,58.14,78.61,838,977,1091,129,296
"84","AK","Alaska","25-0000","Education, Training, and Library Occupations","major",458,3.9,27.55,814,2.7,13.06,18.62,26.8,35.38,43.4,545,704,830,948,1067
"85","AK","Alaska","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",600,5.2,23.43,728,2.2,11.87,16.52,21.3,28.47,36.68,482,645,683,811,982
"86","AK","Alaska","29-0000","Healthcare Practitioners and Technical Occupations","major",301,12.2,41.74,1079,1.7,19.32,26.9,36.77,47.51,66.78,779,945,1042,1141,234
"87","AK","Alaska","31-0000","Healthcare Support Occupations","major",1084,7.1,17.75,504,2.1,11.23,13.44,16.53,20.1,25.34,448,491,500,546,638
"88","AK","Alaska","33-0000","Protective Service Occupations","major",1024,4.2,25.23,775,3.5,11.05,16.14,24,32.13,41.34,433,628,759,874,1039
"89","AK","Alaska","35-0000","Food Preparation and Serving Related Occupations","major",520,3,11.95,205,1.5,8.3,8.94,10.65,14.07,17.83,164,163,189,310,452
"90","AK","Alaska","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",83,5.7,14.14,297,1.5,9.27,10.83,13.41,16.74,20.37,283,318,332,390,514
"91","AK","Alaska","39-0000","Personal Care and Service Occupations","major",129,5.3,14.18,299,1.8,9.21,10.77,13.51,16.77,20.16,274,313,340,391,510
"92","AK","Alaska","41-0000","Sales and Related Occupations","major",531,2.3,16.25,413,1.6,9.01,10.39,13.13,18.61,27.06,250,282,319,486,697
"93","AK","Alaska","43-0000","Office and Administrative Support Occupations","major",907,1.6,19.67,590,0.7,12,14.89,18.45,23.41,28.72,489,573,582,669,762
"94","AK","Alaska","45-0000","Farming, Fishing, and Forestry Occupations","major",780,14.9,20.19,618,9.2,8.77,11.37,19.12,26.01,36.18,220,362,605,740,967
"95","AK","Alaska","47-0000","Construction and Extraction Occupations","major",430,2.6,29.7,859,1,17.45,23.09,28.94,36,43.05,726,845,896,960,1059
"96","AK","Alaska","49-0000","Installation, Maintenance, and Repair Occupations","major",303,3,26.91,795,1.1,14.5,19.57,26.74,34.04,40.3,600,743,827,913,1030
"97","AK","Alaska","51-0000","Production Occupations","major",243,2.6,20.45,627,6.1,8.52,9.38,16.65,29.98,38.38,189,207,506,840,1013
"98","AK","Alaska","53-0000","Transportation and Material Moving Occupations","major",486,2.7,25.52,780,5,10.71,14.38,20.49,28.67,43.84,412,549,654,817,1075
"99","AZ","Arizona","11-0000","Management Occupations","major",226,1.5,47.86,1130,0.7,20.83,29.96,41.87,58.01,83.49,823,978,1087,128,310
"100","AZ","Arizona","13-0000","Business and Financial Operations Occupations","major",170,2.1,30.33,872,0.8,16.44,21.04,27.98,36.58,46.71,674,794,868,968,1118
"101","AZ","Arizona","15-0000","Computer and Mathematical Occupations","major",1053,4.7,36.85,1010,1.3,18.71,25.52,35.67,46.9,57.03,756,905,1019,1130,164
"102","AZ","Arizona","17-0000","Architecture and Engineering Occupations","major",901,5.7,36.38,1002,1.4,18.99,25.41,33.88,45.21,57,768,904,982,1106,163
"103","AZ","Arizona","19-0000","Life, Physical, and Social Science Occupations","major",343,2.9,27.85,819,1.6,15.05,19.28,25.48,34.19,43.92,626,731,795,918,1077
"104","AZ","Arizona","21-0000","Community and Social Service Occupations","major",700,3.5,19.87,601,1.3,11.35,14.33,18.33,23.59,30.21,455,546,575,680,811
"105","AZ","Arizona","23-0000","Legal Occupations","major",344,3.4,44.93,1106,4.3,17.09,22.54,33.62,59.28,87.84,707,833,974,132,318
"106","AZ","Arizona","25-0000","Education, Training, and Library Occupations","major",256,2.6,21.88,680,3.9,10.06,13.13,18.49,25.43,37.07,362,476,585,723,987
"107","AZ","Arizona","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",619,3.7,22.28,697,1.9,9.34,12.8,18.65,26.83,37.82,289,460,591,766,1003
"108","AZ","Arizona","29-0000","Healthcare Practitioners and Technical Occupations","major",235,2.3,36.71,1007,1.4,14.48,21.94,31.73,42.19,63.03,599,816,942,1058,213
"109","AZ","Arizona","31-0000","Healthcare Support Occupations","major",1004,3.6,14.64,317,1.4,9.47,11.11,13.62,16.82,20.58,304,343,347,392,520
"110","AZ","Arizona","33-0000","Protective Service Occupations","major",1064,2.5,21.26,656,3.1,9.49,12.17,19.04,27.68,36.52,306,416,602,792,976
"111","AZ","Arizona","35-0000","Food Preparation and Serving Related Occupations","major",488,1.1,10.63,143,1.5,8.06,8.46,9.12,11.14,14.67,130,108,112,219,366
"112","AZ","Arizona","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",1069,1.9,11.39,182,0.9,8.2,8.79,10.16,12.74,16.52,148,146,163,267,410
"113","AZ","Arizona","39-0000","Personal Care and Service Occupations","major",1087,2.7,11.9,204,1.1,8.19,8.77,10.09,12.88,18.21,147,144,161,271,466
"114","AZ","Arizona","41-0000","Sales and Related Occupations","major",577,1.6,17.45,493,1.4,8.36,9.19,12.33,19.74,32.04,171,190,280,532,853
"115","AZ","Arizona","43-0000","Office and Administrative Support Occupations","major",783,1.1,16.32,415,0.4,9.56,12.01,15.25,19.28,24.64,315,403,449,516,625
"116","AZ","Arizona","45-0000","Farming, Fishing, and Forestry Occupations","major",181,8.1,9.75,114,1.7,8,8.29,8.78,9.28,13.25,118,89,80,176,347
"117","AZ","Arizona","47-0000","Construction and Extraction Occupations","major",115,3.1,19.6,587,0.9,10.81,13.94,17.89,23.23,30.78,422,523,550,662,826
"118","AZ","Arizona","49-0000","Installation, Maintenance, and Repair Occupations","major",1176,2,21.29,658,0.9,10.88,14.64,19.73,26.82,33.81,427,561,629,765,908
"119","AZ","Arizona","51-0000","Production Occupations","major",103,3,16.57,432,0.9,8.96,10.96,14.69,20.2,26.78,38,328,418,550,683
"120","AZ","Arizona","53-0000","Transportation and Material Moving Occupations","major",255,2.4,16.63,435,3.1,8.59,10.05,14.09,19.43,26.92,21,253,382,520,692
"121","AR","Arkansas","11-0000","Management Occupations","major",915,1.4,41.48,1074,2.7,15.81,23.03,34.81,51.56,77.6,657,842,1005,87,292
"122","AR","Arkansas","13-0000","Business and Financial Operations Occupations","major",763,1.7,28.69,840,2.3,14.81,18.95,26.27,35.35,45.73,614,720,819,945,1106
"123","AR","Arkansas","15-0000","Computer and Mathematical Occupations","major",414,5.4,30.63,882,2.3,15.69,21.13,29.73,38.32,46.32,655,796,914,999,1113
"124","AR","Arkansas","17-0000","Architecture and Engineering Occupations","major",127,4.5,30.65,883,1.1,16.41,21.53,29.23,37.41,46.41,673,807,901,991,1114
"125","AR","Arkansas","19-0000","Life, Physical, and Social Science Occupations","major",951,3.1,26.5,790,2.5,13.46,17.84,23.69,33.08,42.06,560,685,753,893,1045
"126","AR","Arkansas","21-0000","Community and Social Service Occupations","major",213,2.7,18.42,528,1.2,9.11,12.5,16.82,23,29.86,261,438,511,657,800
"127","AR","Arkansas","23-0000","Legal Occupations","major",950,3.9,35.83,993,4.1,13.58,18.11,27.23,46.22,68.49,563,692,846,1122,249
"128","AR","Arkansas","25-0000","Education, Training, and Library Occupations","major",1041,2.7,21.05,653,2.3,8.71,12.89,20.22,25.76,32.06,209,463,648,732,854
"129","AR","Arkansas","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",1081,2.8,19.98,608,1.6,9.09,12.05,17.34,24.73,33,259,407,529,706,884
"130","AR","Arkansas","29-0000","Healthcare Practitioners and Technical Occupations","major",1037,2.6,30.94,889,1.5,12.91,17.18,23.53,33.56,55.84,538,665,745,901,148
"131","AR","Arkansas","31-0000","Healthcare Support Occupations","major",701,1.8,11.1,170,0.9,7.7,8.69,10.31,12.31,15.54,69,135,168,259,384
"132","AR","Arkansas","33-0000","Protective Service Occupations","major",480,1.8,15.96,390,1.8,8.57,11.05,15.05,19.21,24.87,195,338,438,511,632
"133","AR","Arkansas","35-0000","Food Preparation and Serving Related Occupations","major",1175,1.1,8.91,93,0.5,7.63,8.01,8.64,9.27,11.25,57,59,74,175,328
"134","AR","Arkansas","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",665,2.1,10.39,134,0.9,7.77,8.33,9.29,11.63,14.78,80,91,123,238,370
"135","AR","Arkansas","39-0000","Personal Care and Service Occupations","major",658,2.4,9.6,109,1,7.59,8.05,8.82,10.2,13.45,53,62,85,194,351
"136","AR","Arkansas","41-0000","Sales and Related Occupations","major",163,1.8,14.9,335,1.3,7.89,8.58,10.36,16.85,27.87,100,124,172,393,734
"137","AR","Arkansas","43-0000","Office and Administrative Support Occupations","major",358,1,14.14,298,0.7,8.4,9.94,12.93,16.88,21.87,13,247,308,394,550
"138","AR","Arkansas","45-0000","Farming, Fishing, and Forestry Occupations","major",870,7.4,13.54,271,2.6,8.92,10.12,11.84,16.3,20.84,240,259,261,380,524
"139","AR","Arkansas","47-0000","Construction and Extraction Occupations","major",808,1.7,16.93,454,0.7,9.9,12.38,15.75,20.38,25.79,347,427,468,556,655
"140","AR","Arkansas","49-0000","Installation, Maintenance, and Repair Occupations","major",898,1.8,18.47,532,0.7,10.1,13.04,17.15,22.57,29.07,367,471,521,643,777
"141","AR","Arkansas","51-0000","Production Occupations","major",140,2.3,14.66,318,0.9,8.7,10.37,13.48,17.75,22.24,207,279,337,434,559
"142","AR","Arkansas","53-0000","Transportation and Material Moving Occupations","major",108,3.7,14.61,316,1.4,8.34,9.81,12.95,17.39,23.27,169,236,311,418,583
"143","CA","California","11-0000","Management Occupations","major",1115,0.6,59.52,81,0.4,24.84,35.41,52.36,74.93,NA,860,1007,60,163,56
"144","CA","California","13-0000","Business and Financial Operations Occupations","major",1106,0.8,37.37,1018,0.4,19.18,25.25,33.67,44.89,59.16,775,899,976,1102,190
"145","CA","California","15-0000","Computer and Mathematical Occupations","major",842,2.5,45.83,1115,1.3,23.14,32.33,43.95,57.5,70.93,847,996,1095,124,268
"146","CA","California","17-0000","Architecture and Engineering Occupations","major",639,1.7,45,1107,0.6,23.76,31.77,43.24,56.03,70.02,853,991,1092,116,259
"147","CA","California","19-0000","Life, Physical, and Social Science Occupations","major",359,3.7,37.64,1024,1.1,16.78,24.03,35.51,47.18,58.98,694,863,1017,1137,188
"148","CA","California","21-0000","Community and Social Service Occupations","major",471,1.4,24.46,759,1.5,11.79,15.92,22.23,31.47,41.7,480,621,711,866,1041
"149","CA","California","23-0000","Legal Occupations","major",194,1.6,56.65,76,1.7,20.62,29.3,47.08,74.89,NA,817,969,1109,162,56
"150","CA","California","25-0000","Education, Training, and Library Occupations","major",1136,0.8,27.32,809,0.8,12.33,16.56,25.06,35.83,44.31,508,648,778,954,50
"151","CA","California","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",590,1.4,35.38,983,2.8,12.11,17.4,27.14,42.9,69.58,497,668,842,1070,256
"152","CA","California","29-0000","Healthcare Practitioners and Technical Occupations","major",1039,1.2,43.87,1098,0.7,17.78,26.03,39.11,55.01,72.11,730,920,1061,103,276
"153","CA","California","31-0000","Healthcare Support Occupations","major",691,1.2,15.99,393,0.5,9.83,11.71,14.73,18.87,24.43,342,384,421,494,618
"154","CA","California","33-0000","Protective Service Occupations","major",692,1.1,25.44,777,2.5,9.61,11.87,20.73,37.23,47.43,320,397,662,989,1130
"155","CA","California","35-0000","Food Preparation and Serving Related Occupations","major",61,0.4,10.97,164,0.4,8.39,8.75,9.37,11.62,15.84,174,140,130,238,393
"156","CA","California","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",831,1.1,13.68,274,0.6,8.72,9.63,11.87,16.35,21.72,213,227,263,381,547
"157","CA","California","39-0000","Personal Care and Service Occupations","major",721,1.7,12.99,247,0.7,8.54,9.14,10.85,14.14,20.63,190,185,201,315,521
"158","CA","California","41-0000","Sales and Related Occupations","major",68,0.6,19.81,599,0.6,8.74,9.64,13.62,22.3,38.22,216,228,348,633,1010
"159","CA","California","43-0000","Office and Administrative Support Occupations","major",404,0.6,18.64,541,0.2,9.9,12.86,17.33,22.83,28.74,347,462,528,653,763
"160","CA","California","45-0000","Farming, Fishing, and Forestry Occupations","major",423,1.6,9.88,118,0.7,8.27,8.53,8.96,9.55,12.74,7,121,100,180,337
"161","CA","California","47-0000","Construction and Extraction Occupations","major",856,1,26.03,784,0.5,12.9,17.04,24.56,33.6,42.51,537,661,767,902,1051
"162","CA","California","49-0000","Installation, Maintenance, and Repair Occupations","major",832,1,23.6,738,0.5,11.81,15.77,22.12,30.07,37.05,481,613,709,842,986
"163","CA","California","51-0000","Production Occupations","major",1096,0.9,16.63,434,0.5,8.92,10.4,14.08,20.28,28.5,241,283,381,552,755
"164","CA","California","53-0000","Transportation and Material Moving Occupations","major",1166,1.2,16.44,425,0.9,8.79,10,13.87,20.04,27.83,224,11,365,544,732
"165","CO","Colorado","11-0000","Management Occupations","major",95,1.1,55.79,75,0.6,24.98,34.62,49.27,68.87,NA,861,1006,57,154,56
"166","CO","Colorado","13-0000","Business and Financial Operations Occupations","major",296,1.3,34.56,962,0.7,17.29,23.16,31.47,42.09,54.89,717,847,937,1056,131
"167","CO","Colorado","15-0000","Computer and Mathematical Occupations","major",1155,2,41.06,1068,1,21.33,29.46,39.43,51.3,63.25,831,973,1067,82,215
"168","CO","Colorado","17-0000","Architecture and Engineering Occupations","major",909,1.8,40.95,1066,1.1,21.59,28.51,37.88,50.62,64.81,832,963,1054,77,220
"169","CO","Colorado","19-0000","Life, Physical, and Social Science Occupations","major",549,2.6,34.23,949,1.5,15.88,21.51,30.46,43.4,57.43,659,806,925,1078,173
"170","CO","Colorado","21-0000","Community and Social Service Occupations","major",631,1.9,21.43,663,1.2,11.94,15.21,20.16,26.32,33.46,487,594,646,752,894
"171","CO","Colorado","23-0000","Legal Occupations","major",428,2.6,49.82,60,4.1,19.13,25.3,36.5,63.51,NA,773,901,1037,143,56
"172","CO","Colorado","25-0000","Education, Training, and Library Occupations","major",233,1,24.07,748,2.5,11.74,15.56,21.13,28.81,37.56,477,602,677,821,997
"173","CO","Colorado","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",685,2.4,23.46,730,1.7,9.43,13.09,20,29.31,40.77,299,473,640,830,1034
"174","CO","Colorado","29-0000","Healthcare Practitioners and Technical Occupations","major",167,2,36.41,1003,1.1,16.32,23.29,31.63,41.67,57.3,668,848,939,1048,168
"175","CO","Colorado","31-0000","Healthcare Support Occupations","major",910,2.2,14.85,331,0.9,9.7,11.63,14.02,17.22,21.28,327,379,374,409,537
"176","CO","Colorado","33-0000","Protective Service Occupations","major",904,2.5,21.33,659,2.2,9.32,12.5,19.02,28.59,36.42,288,438,601,814,974
"177","CO","Colorado","35-0000","Food Preparation and Serving Related Occupations","major",453,1,10.76,154,0.8,8.06,8.48,9.18,11.41,15.61,129,112,117,226,387
"178","CO","Colorado","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",1048,1.7,12.66,232,1,8.37,9.27,11.28,14.45,18.57,11,197,227,325,480
"179","CO","Colorado","39-0000","Personal Care and Service Occupations","major",1008,2.8,12.55,227,1.1,8.23,8.9,10.47,13.81,20.4,152,158,180,298,515
"180","CO","Colorado","41-0000","Sales and Related Occupations","major",538,1,19.82,600,1.1,8.47,9.56,13.46,22.33,39.01,182,6,336,635,1018
